libisofs6t64:amd64	1.5.6.pl01-1.1+b1
libitm1:amd64	14.2.0-19
libjansson4:amd64	2.14-2+b3
libjemalloc2:amd64	5.3.0-3
libjpeg62-turbo:amd64	1:2.1.5-4
libjson-c5:amd64	0.18+ds-1
libjte2:amd64	1.22-4+b2
libk5crypto3:amd64	1.21.3-5+deb13u1
libkadm5clnt-mit12:amd64	1.21.3-5+deb13u1
libkadm5srv-mit12:amd64	1.21.3-5+deb13u1
libkdb5-10t64:amd64	1.21.3-5+deb13u1
libkeyutils1:amd64	1.6.3-6
libklibc:amd64	2.0.14-1
libkmod2:amd64	34.2-2
libkrb5-3:amd64	1.21.3-5+deb13u1
libkrb5-dev:amd64	1.21.3-5+deb13u1
libkrb5support0:amd64	1.21.3-5+deb13u1
libksba8:amd64	1.6.7-2+b1
liblastlog2-2:amd64	2.41.5-0+deb13u1
libldap-dev:amd64	2.6.10+dfsg-1
libldap2:amd64	2.6.10+dfsg-1
liblmdb0:amd64	0.9.31-1+b2
liblsan0:amd64	14.2.0-19
liblz4-1:amd64	1.10.0-4
liblz4-dev:amd64	1.10.0-4
liblzma-dev:amd64	5.8.1-1+deb13u1
liblzma5:amd64	5.8.1-1+deb13u1
liblzo2-2:amd64	2.10-3+b1
libmagic-mgc	1:5.46-5
libmagic1t64:amd64	1:5.46-5
libmaxminddb0:amd64	1.12.2-1
libmd0:amd64	1.1.0-2+b1
libmnl0:amd64	1.0.5-3
libmount1:amd64	2.41.5-0+deb13u1
libmpc3:amd64	1.3.1-1+b3
libmpfr6:amd64	4.2.2-1
libncursesw6:amd64	6.5+20250216-2
libndctl6:amd64	81-1
libnetfilter-conntrack3:amd64	1.1.0-1
libnetplan1:amd64	1.1.2-7
libnettle8t64:amd64	3.10.1-1
libnewt0.52:amd64	0.52.25-1
libnfnetlink0:amd64	1.0.2-3
libnftnl11:amd64	1.2.9-1
libnghttp2-14:amd64	1.64.0-1.1+deb13u1
libnghttp2-dev:amd64	1.64.0-1.1+deb13u1
libnghttp3-9:amd64	1.8.0-1
libnghttp3-dev:amd64	1.8.0-1
libngtcp2-16:amd64	1.11.0-1+deb13u1
libngtcp2-crypto-gnutls8:amd64	1.11.0-1+deb13u1
libnl-3-200:amd64	3.7.0-2
libnl-route-3-200:amd64	3.7.0-2
libnpth0t64:amd64	1.8-3
libnspr4:amd64	2:4.36-1
libnss-myhostname:amd64	257.13-1~deb13u1
libnss-resolve:amd64	257.13-1~deb13u1
libnss3:amd64	2:3.110-1+deb13u4
libnuma1:amd64	2.0.19-1
libp11-kit-dev:amd64	0.25.5-3
libp11-kit0:amd64	0.25.5-3
libpam-modules:amd64	1.7.0-5
libpam-modules-bin	1.7.0-5
libpam-runtime	1.7.0-5
libpam-systemd:amd64	257.13-1~deb13u1
libpam0g:amd64	1.7.0-5
libpcap0.8t64:amd64	1.10.5-2
libpci3:amd64	1:3.13.0-2
libpcre2-8-0:amd64	10.46-1~deb13u1
libpcsclite1:amd64	2.3.3-1
libperl5.40:amd64	5.40.1-6
libpipeline1:amd64	1.5.8-1
libpixman-1-0:amd64	0.44.0-3
libpkgconf3:amd64	1.8.1-4
libpmem1:amd64	1.13.1-1.1+b1
libpng16-16t64:amd64	1.6.48-1+deb13u5
libpolkit-agent-1-0:amd64	126-2
libpolkit-gobject-1-0:amd64	126-2
libpopt0:amd64	1.19+dfsg-2
libproc2-0:amd64	2:4.0.4-9
libprotobuf-c1:amd64	1.5.1-1
libpsl-dev:amd64	0.21.2-1.1+b1
libpsl5t64:amd64	0.21.2-1.1+b1
libpython3-stdlib:amd64	3.13.5-1
libpython3.13-minimal:amd64	3.13.5-2+deb13u4
libpython3.13-stdlib:amd64	3.13.5-2+deb13u4
libquadmath0:amd64	14.2.0-19
librdmacm1t64:amd64	56.1-1
libreadline8t64:amd64	8.2-6
librtmp-dev:amd64	2.4+20151223.gitfa8646d.1-2+b5
librtmp1:amd64	2.4+20151223.gitfa8646d.1-2+b5
libsasl2-2:amd64	2.1.28+dfsg1-9
libsasl2-modules-db:amd64	2.1.28+dfsg1-9
